,Column,Selected feature,Feature ranking
0,0,False,84
1,1,False,81
2,2,False,80
3,3,False,79
4,4,False,78
5,5,False,77
6,6,False,76
7,7,False,75
8,8,False,74
9,9,False,73
10,10,False,72
11,11,False,71
12,12,False,70
13,13,False,69
14,14,False,68
15,15,False,67
16,16,False,66
17,17,False,65
18,18,False,64
19,19,False,63
20,20,False,62
21,21,False,61
22,22,False,60
23,23,False,59
24,24,False,58
25,25,False,57
26,26,False,56
27,27,False,55
28,28,False,54
29,29,False,53
30,30,False,52
31,31,False,51
32,32,False,50
33,33,False,49
34,34,False,48
35,35,False,47
36,36,False,46
37,37,False,45
38,38,False,44
39,39,False,43
40,40,False,42
41,41,False,40
42,42,False,39
43,43,False,38
44,44,False,37
45,45,False,36
46,46,False,35
47,47,False,34
48,48,False,33
49,49,False,32
50,50,False,31
51,51,False,30
52,52,False,29
53,53,False,28
54,54,False,27
55,55,False,26
56,56,False,25
57,57,False,24
58,58,False,23
59,59,False,22
60,60,False,21
61,61,False,20
62,62,False,19
63,63,False,18
64,64,False,17
65,65,False,15
66,66,False,14
67,67,False,13
68,68,False,12
69,69,False,11
70,70,False,10
71,71,False,9
72,72,False,8
73,73,False,7
74,74,False,6
75,75,False,5
76,76,False,4
77,77,False,3
78,78,False,2
79,79,True,1
80,80,True,1
81,81,True,1
82,82,True,1
83,83,True,1
84,84,True,1
85,85,True,1
86,86,True,1
87,87,True,1
88,88,True,1
89,89,True,1
90,90,True,1
91,91,True,1
92,92,True,1
93,93,True,1
94,94,True,1
95,95,True,1
96,96,True,1
97,97,True,1
98,98,True,1
99,99,True,1
100,100,True,1
101,101,True,1
102,102,True,1
103,103,True,1
104,104,True,1
105,105,True,1
106,106,True,1
107,107,True,1
108,108,True,1
109,109,True,1
110,110,True,1
111,111,True,1
112,112,True,1
113,113,True,1
114,114,True,1
115,115,True,1
116,116,True,1
117,117,True,1
118,118,True,1
119,119,True,1
120,120,True,1
121,121,True,1
122,122,True,1
123,123,True,1
124,124,True,1
125,125,True,1
126,126,True,1
127,127,True,1
128,128,True,1
129,129,True,1
130,130,True,1
131,131,True,1
132,132,True,1
133,133,True,1
134,134,True,1
135,135,True,1
136,136,True,1
137,137,True,1
138,138,True,1
139,139,True,1
140,140,True,1
141,141,True,1
142,142,True,1
143,143,True,1
144,144,True,1
145,145,True,1
146,146,True,1
147,147,True,1
148,148,True,1
149,149,True,1
150,150,True,1
151,151,True,1
152,152,True,1
153,153,True,1
154,154,True,1
155,155,True,1
156,156,True,1
157,157,True,1
158,158,True,1
159,159,True,1
160,160,True,1
161,161,True,1
162,162,True,1
163,163,True,1
164,164,True,1
165,165,True,1
166,166,True,1
167,167,True,1
168,168,True,1
169,169,True,1
170,170,True,1
171,171,True,1
172,172,True,1
173,173,True,1
174,174,True,1
175,175,True,1
176,176,True,1
177,177,True,1
178,178,True,1
179,179,True,1
180,180,True,1
181,181,True,1
182,182,True,1
183,183,True,1
184,184,True,1
185,185,True,1
186,186,True,1
187,187,True,1
188,188,True,1
189,189,True,1
190,190,True,1
191,191,True,1
192,192,True,1
193,193,True,1
194,194,True,1
195,195,True,1
196,196,True,1
197,197,True,1
198,198,True,1
199,199,True,1
200,200,True,1
201,201,True,1
202,202,True,1
203,203,True,1
204,204,True,1
205,205,True,1
206,206,True,1
207,207,True,1
208,208,True,1
209,209,True,1
210,210,True,1
211,211,True,1
212,212,True,1
213,213,True,1
214,214,True,1
215,215,True,1
216,216,True,1
217,217,True,1
218,218,True,1
219,219,True,1
220,220,True,1
221,221,True,1
222,222,True,1
223,223,True,1
224,224,True,1
225,225,True,1
226,226,True,1
227,227,True,1
228,228,True,1
229,229,True,1
230,230,True,1
231,231,True,1
232,232,True,1
233,233,True,1
234,234,True,1
235,235,True,1
236,236,True,1
237,237,True,1
238,238,True,1
239,239,True,1
240,240,True,1
241,241,True,1
242,242,True,1
243,243,True,1
244,244,True,1
245,245,True,1
246,246,True,1
247,247,True,1
248,248,True,1
249,249,True,1
250,250,True,1
251,251,True,1
252,252,True,1
253,253,True,1
254,254,True,1
255,255,True,1
256,256,True,1
257,257,True,1
258,258,True,1
259,259,True,1
260,260,True,1
261,261,True,1
262,262,True,1
263,263,True,1
264,264,True,1
265,265,True,1
266,266,True,1
267,267,True,1
268,268,True,1
269,269,True,1
270,270,True,1
271,271,True,1
272,272,True,1
273,273,True,1
274,274,True,1
275,275,True,1
276,276,True,1
277,277,True,1
278,278,True,1
279,279,True,1
280,280,True,1
281,281,True,1
282,282,True,1
283,283,True,1
284,284,True,1
285,285,True,1
286,286,True,1
287,287,True,1
288,288,True,1
289,289,True,1
290,290,True,1
291,291,True,1
292,292,True,1
293,293,True,1
294,294,True,1
295,295,True,1
296,296,True,1
297,297,True,1
298,298,True,1
299,299,True,1
300,300,True,1
301,301,True,1
302,302,True,1
303,303,True,1
304,304,True,1
305,305,True,1
306,306,True,1
307,307,True,1
308,308,True,1
309,309,True,1
310,310,True,1
311,311,True,1
312,312,True,1
313,313,True,1
314,314,True,1
315,315,True,1
316,316,True,1
317,317,True,1
318,318,True,1
319,319,True,1
320,320,True,1
321,321,True,1
322,322,True,1
323,323,True,1
324,324,True,1
325,325,True,1
326,326,True,1
327,327,True,1
328,328,True,1
329,329,True,1
330,330,True,1
331,331,True,1
332,332,True,1
333,333,True,1
334,334,True,1
335,335,True,1
336,336,True,1
337,337,True,1
338,338,True,1
339,339,True,1
340,340,True,1
341,341,True,1
342,342,True,1
343,343,True,1
344,344,True,1
345,345,True,1
346,346,True,1
347,347,True,1
348,348,True,1
349,349,True,1
350,350,True,1
351,351,True,1
352,352,True,1
353,353,True,1
354,354,True,1
355,355,True,1
356,356,True,1
357,357,True,1
358,358,True,1
359,359,True,1
360,360,True,1
361,361,True,1
362,362,True,1
363,363,True,1
364,364,True,1
365,365,True,1
366,366,True,1
367,367,True,1
368,368,True,1
369,369,True,1
370,370,True,1
371,371,True,1
372,372,True,1
373,373,True,1
374,374,True,1
375,375,True,1
376,376,True,1
377,377,True,1
378,378,True,1
379,379,True,1
380,380,True,1
381,381,True,1
382,382,True,1
383,383,True,1
384,384,True,1
385,385,True,1
386,386,True,1
387,387,True,1
388,388,True,1
389,389,True,1
390,390,True,1
391,391,True,1
392,392,True,1
393,393,True,1
394,394,True,1
395,395,True,1
396,396,True,1
397,397,True,1
398,398,True,1
399,399,True,1
400,400,True,1
401,401,True,1
402,402,True,1
403,403,True,1
404,404,True,1
405,405,True,1
406,406,True,1
407,407,True,1
408,408,True,1
409,409,True,1
410,410,True,1
411,411,True,1
412,412,True,1
413,413,True,1
414,414,True,1
415,415,True,1
416,416,True,1
417,417,True,1
