,Column,Selected feature,Feature ranking
0,0,False,301
1,1,False,706
2,2,False,333
3,3,False,189
4,4,False,788
5,5,False,721
6,6,False,550
7,7,False,594
8,8,False,989
9,9,False,138
10,10,False,1066
11,11,False,846
12,12,False,106
13,13,False,528
14,14,False,298
15,15,False,174
16,16,False,517
17,17,True,1
18,18,False,909
19,19,False,910
20,20,False,416
21,21,False,516
22,22,False,943
23,23,False,532
24,24,False,674
25,25,False,47
26,26,False,474
27,27,False,822
28,28,False,693
29,29,False,335
30,30,False,959
31,31,False,890
32,32,False,677
33,33,False,817
34,34,False,835
35,35,False,375
36,36,False,255
37,37,False,139
38,38,False,278
39,39,False,682
40,40,False,603
41,41,False,373
42,42,False,845
43,43,False,155
44,44,False,770
45,45,False,1000
46,46,False,653
47,47,False,544
48,48,False,1013
49,49,False,872
50,50,False,579
51,51,False,736
52,52,False,877
53,53,False,364
54,54,False,382
55,55,False,562
56,56,False,358
57,57,False,396
58,58,False,313
59,59,False,232
60,60,False,632
61,61,False,150
62,62,False,891
63,63,False,880
64,64,False,300
65,65,False,318
66,66,False,742
67,67,False,944
68,68,False,892
69,69,False,678
70,70,False,535
71,71,False,546
72,72,True,1
73,73,True,1
74,74,False,615
75,75,False,908
76,76,False,500
77,77,False,512
78,78,False,458
79,79,False,77
80,80,False,875
81,81,False,327
82,82,False,781
83,83,False,641
84,84,False,577
85,85,False,533
86,86,False,951
87,87,False,383
88,88,False,549
89,89,False,330
90,90,False,312
91,91,False,341
92,92,False,319
93,93,False,715
94,94,False,760
95,95,False,240
96,96,False,131
97,97,False,169
98,98,False,811
99,99,False,487
100,100,False,397
101,101,False,545
102,102,False,935
103,103,False,969
104,104,False,871
105,105,False,679
106,106,False,156
107,107,False,271
108,108,False,506
109,109,False,45
110,110,False,1012
111,111,False,484
112,112,False,921
113,113,False,438
114,114,True,1
115,115,False,436
116,116,False,758
117,117,False,523
118,118,False,998
119,119,False,437
120,120,False,961
121,121,False,188
122,122,False,483
123,123,False,277
124,124,False,215
125,125,True,1
126,126,False,759
127,127,False,74
128,128,False,559
129,129,False,555
130,130,True,1
131,131,False,640
132,132,False,617
133,133,False,705
134,134,False,704
135,135,False,201
136,136,False,75
137,137,False,740
138,138,False,863
139,139,False,355
140,140,False,429
141,141,False,485
142,142,False,157
143,143,False,638
144,144,False,141
145,145,False,510
146,146,False,195
147,147,False,757
148,148,False,431
149,149,False,233
150,150,False,392
151,151,False,912
152,152,False,802
153,153,False,244
154,154,True,1
155,155,False,79
156,156,False,578
157,157,True,1
158,158,False,247
159,159,True,1
160,160,False,154
161,161,False,666
162,162,False,55
163,163,False,767
164,164,True,1
165,165,False,604
166,166,False,572
167,167,True,1
168,168,True,1
169,169,False,27
170,170,False,637
171,171,False,148
172,172,False,769
173,173,False,768
174,174,False,982
175,175,False,852
176,176,False,266
177,177,False,252
178,178,False,170
179,179,False,1002
180,180,False,147
181,181,False,696
182,182,False,70
183,183,False,741
184,184,False,616
185,185,False,463
186,186,False,29
187,187,False,395
188,188,False,799
189,189,False,58
190,190,False,44
191,191,False,202
192,192,False,978
193,193,False,446
194,194,False,270
195,195,False,813
196,196,False,250
197,197,False,945
198,198,False,114
199,199,False,697
200,200,False,529
201,201,False,518
202,202,True,1
203,203,False,847
204,204,True,1
205,205,False,257
206,206,False,994
207,207,False,808
208,208,True,1
209,209,False,168
210,210,False,111
211,211,False,608
212,212,False,455
213,213,False,353
214,214,False,272
215,215,False,924
216,216,False,685
217,217,True,1
218,218,False,980
219,219,False,33
220,220,False,113
221,221,False,966
222,222,True,1
223,223,False,292
224,224,False,204
225,225,False,1008
226,226,False,287
227,227,False,531
228,228,False,722
229,229,False,686
230,230,False,267
231,231,False,452
232,232,False,374
233,233,False,337
234,234,False,196
235,235,True,1
236,236,True,1
237,237,False,749
238,238,True,1
239,239,True,1
240,240,True,1
241,241,False,256
242,242,True,1
243,243,False,748
244,244,False,821
245,245,False,118
246,246,True,1
247,247,True,1
248,248,True,1
249,249,False,143
250,250,False,394
251,251,True,1
252,252,False,293
253,253,False,726
254,254,False,160
255,255,False,644
256,256,False,125
257,257,False,119
258,258,False,251
259,259,False,295
260,260,False,296
261,261,True,1
262,262,True,1
263,263,True,1
264,264,True,1
265,265,False,457
266,266,False,109
267,267,False,647
268,268,False,803
269,269,False,816
270,270,False,311
271,271,False,439
272,272,False,417
273,273,False,505
274,274,False,108
275,275,False,175
276,276,False,929
277,277,False,71
278,278,False,613
279,279,False,418
280,280,False,253
281,281,False,76
282,282,False,126
283,283,True,1
284,284,False,285
285,285,False,522
286,286,False,859
287,287,False,363
288,288,False,850
289,289,False,834
290,290,False,260
291,291,False,646
292,292,False,38
293,293,True,1
294,294,False,596
295,295,False,317
296,296,False,658
297,297,False,243
298,298,False,338
299,299,True,1
300,300,False,36
301,301,False,198
302,302,False,351
303,303,True,1
304,304,False,80
305,305,False,496
306,306,True,1
307,307,False,205
308,308,False,349
309,309,False,493
310,310,True,1
311,311,False,635
312,312,False,96
313,313,True,1
314,314,False,401
315,315,False,784
316,316,False,43
317,317,False,857
318,318,False,151
319,319,False,432
320,320,False,65
321,321,False,50
322,322,False,110
323,323,True,1
324,324,False,104
325,325,False,922
326,326,False,19
327,327,False,568
328,328,False,805
329,329,False,95
330,330,False,530
331,331,True,1
332,332,False,725
333,333,False,381
334,334,False,310
335,335,True,1
336,336,False,236
337,337,False,479
338,338,False,842
339,339,True,1
340,340,False,206
341,341,True,1
342,342,False,18
343,343,False,1038
344,344,False,851
345,345,True,1
346,346,False,676
347,347,False,675
348,348,False,117
349,349,False,408
350,350,False,308
351,351,False,687
352,352,False,142
353,353,False,283
354,354,False,171
355,355,True,1
356,356,False,597
357,357,False,172
358,358,False,320
359,359,False,37
360,360,False,520
361,361,False,159
362,362,False,261
363,363,False,166
364,364,False,97
365,365,True,1
366,366,False,22
367,367,False,790
368,368,False,831
369,369,False,688
370,370,False,747
371,371,False,39
372,372,False,780
373,373,False,331
374,374,False,158
375,375,False,985
376,376,False,53
377,377,False,719
378,378,False,948
379,379,False,81
380,380,False,806
381,381,False,837
382,382,False,680
383,383,False,752
384,384,False,69
385,385,False,753
386,386,False,376
387,387,False,379
388,388,False,1018
389,389,False,31
390,390,False,662
391,391,False,988
392,392,False,501
393,393,False,642
394,394,False,668
395,395,False,1023
396,396,False,629
397,397,False,265
398,398,True,1
399,399,False,1034
400,400,False,920
401,401,False,180
402,402,False,140
403,403,False,115
404,404,False,1010
405,405,False,128
406,406,False,574
407,407,False,583
408,408,False,865
409,409,False,569
410,410,True,1
411,411,False,904
412,412,False,588
413,413,False,497
414,414,False,61
415,415,False,161
416,416,False,610
417,417,False,1003
418,418,False,82
419,419,False,606
420,420,False,554
421,421,False,387
422,422,False,628
423,423,False,216
424,424,True,1
425,425,False,772
426,426,False,176
427,427,False,649
428,428,False,860
429,429,False,54
430,430,False,1006
431,431,True,1
432,432,False,949
433,433,False,911
434,434,False,534
435,435,False,936
436,436,True,1
437,437,False,695
438,438,False,1022
439,439,False,648
440,440,False,60
441,441,False,32
442,442,False,149
443,443,False,1027
444,444,True,1
445,445,False,105
446,446,False,135
447,447,False,905
448,448,False,102
449,449,True,1
450,450,True,1
451,451,False,368
452,452,False,926
453,453,True,1
454,454,False,183
455,455,False,471
456,456,False,94
457,457,False,92
458,458,False,299
459,459,False,930
460,460,False,64
461,461,False,1036
462,462,False,537
463,463,False,404
464,464,True,1
465,465,False,974
466,466,False,600
467,467,False,623
468,468,False,348
469,469,False,573
470,470,False,965
471,471,False,976
472,472,False,468
473,473,False,1145
474,474,False,593
475,475,False,727
476,476,False,509
477,477,True,1
478,478,False,10
479,479,True,1
480,480,False,618
481,481,True,1
482,482,False,72
483,483,False,284
484,484,False,130
485,485,False,164
486,486,False,800
487,487,False,755
488,488,False,854
489,489,False,589
490,490,True,1
491,491,True,1
492,492,True,1
493,493,True,1
494,494,False,730
495,495,False,581
496,496,False,716
497,497,False,917
498,498,False,466
499,499,True,1
500,500,False,153
501,501,False,199
502,502,False,591
503,503,False,756
504,504,False,853
505,505,True,1
506,506,False,90
507,507,False,413
508,508,False,340
509,509,False,447
510,510,False,262
511,511,False,228
512,512,False,542
513,513,False,975
514,514,False,480
515,515,False,378
516,516,False,167
517,517,False,491
518,518,False,212
519,519,False,129
520,520,False,981
521,521,False,73
522,522,False,391
523,523,False,1019
524,524,False,356
525,525,False,490
526,526,False,177
527,527,True,1
528,528,False,328
529,529,False,107
530,530,False,602
531,531,False,59
532,532,False,137
533,533,False,343
534,534,False,222
535,535,False,124
536,536,False,136
537,537,False,91
538,538,True,1
539,539,False,636
540,540,True,1
541,541,False,661
542,542,False,582
543,543,False,515
544,544,False,325
545,545,True,1
546,546,False,40
547,547,False,514
548,548,False,1011
549,549,False,558
550,550,False,17
551,551,False,209
552,552,False,342
553,553,False,456
554,554,False,655
555,555,True,1
556,556,True,1
557,557,True,1
558,558,False,339
559,559,False,1035
560,560,False,184
561,561,False,3
562,562,False,12
563,563,False,717
564,564,False,733
565,565,False,592
566,566,False,607
567,567,True,1
568,568,False,601
569,569,False,451
570,570,False,991
571,571,True,1
572,572,False,426
573,573,False,611
574,574,False,280
575,575,False,654
576,576,False,709
577,577,False,552
578,578,False,763
579,579,True,1
580,580,False,525
581,581,False,866
582,582,False,731
583,583,False,843
584,584,False,239
585,585,False,101
586,586,False,732
587,587,False,861
588,588,False,626
589,589,False,609
590,590,True,1
591,591,False,473
592,592,False,384
593,593,False,386
594,594,False,962
595,595,False,566
596,596,False,887
597,597,False,385
598,598,False,502
599,599,False,425
600,600,False,462
601,601,False,281
602,602,False,112
603,603,False,543
604,604,False,406
605,605,False,996
606,606,False,1031
607,607,False,791
608,608,False,714
609,609,False,580
610,610,False,625
611,611,False,192
612,612,False,612
613,613,False,314
614,614,True,1
615,615,False,238
616,616,True,1
617,617,True,1
618,618,False,1021
619,619,False,297
620,620,False,761
621,621,False,864
